LABEL TYPE|LABEL CODE|LABEL DESCRIPTION|LABEL SIZE|LABEL QUANTITY|ARTICLE NUMBER|VENDOR NUM|COLOR CODE|COLOR DESCRIPTION|CARE SYMBOLS CODE 1|CARE SYMBOLS CODE 2|CARE SYMBOLS CODE 3|CARE SYMBOLS CODE 4|CARE SYMBOLS CODE 5|CARE SYMBOLS CODE 6|CARE SYMBOLS CODE 7|EAN-CODE|BATCH NUMBER|STYLE DESCRIPTION (EN)|STYLE DESCRIPTION (FR)|SHAPE|PRODUCT LINE|BRAND|MAIN MATERIAL DESCRIPTION|COU|PO-NUMBER|SEAS|CO|SIZE CODE|SIZE DESCRIPTION|CARE INSTRUCTION 1|CARE INSTRUCTION 2|CARE INSTRUCTION 3|CARE INSTRUCTION 4|CARE INSTRUCTION 5|CARE INSTRUCTION 6|CARE INSTRUCTION 7|Declaration Group 1|DG1 - Comp Desc 1|DG1 - Comp %Age 1|DG1 - Comp Desc 2|DG1 - Comp %Age 2|DG1 - Comp Desc 3|DG1 - Comp %Age 3|DG1 - Comp Desc 4|DG1 - Comp %Age 4|DG1 - Comp Desc 5|DG1 - Comp %Age 5|DG1 - Comp Desc 6|DG1 - Comp %Age 6|DG1 - Comp Desc 7|DG1 - Comp %Age 7|DG1 - Comp Desc 8|DG1 - Comp %Age 8|Declaration Group 2|DG2 - Comp Desc 1|DG2 - Comp %Age 1|DG2 - Comp Desc 2|DG2 - Comp %Age 2|DG2 - Comp Desc 3|DG2 - Comp %Age 3|DG2 - Comp Desc 4|DG2 - Comp %Age 4|DG2 - Comp Desc 5|DG2 - Comp %Age 5|DG2 - Comp Desc 6|DG2 - Comp %Age 6|DG2 - Comp Desc 7|DG2 - Comp %Age 7|DG2 - Comp Desc 8|DG2 - Comp %Age 8|Declaration Group 3|DG3 - Comp Desc 1|DG3 - Comp %Age 1|DG3 - Comp Desc 2|DG3 - Comp %Age 2|DG3 - Comp Desc 3|DG3 - Comp %Age 3|DG3 - Comp Desc 4|DG3 - Comp %Age 4|DG3 - Comp Desc 5|DG3 - Comp %Age 5|DG3 - Comp Desc 6|DG3 - Comp %Age 6|DG3 - Comp Desc 7|DG3 - Comp %Age 7|DG3 - Comp Desc 8|DG3 - Comp %Age 8|Declaration Group 4|DG4 - Comp Desc 1|DG4 - Comp %Age 1|DG4 - Comp Desc 2|DG4 - Comp %Age 2|DG4 - Comp Desc 3|DG4 - Comp %Age 3|DG4 - Comp Desc 4|DG4 - Comp %Age 4|DG4 - Comp Desc 5|DG4 - Comp %Age 5|DG4 - Comp Desc 6|DG4 - Comp %Age 6|DG4 - Comp Desc 7|DG4 - Comp %Age 7|DG4 - Comp Desc 8|DG4 - Comp %Age 8|Declaration Group 5|DG5 - Comp Desc 1|DG5 - Comp %Age 1|DG5 - Comp Desc 2|DG5 - Comp %Age 2|DG5 - Comp Desc 3|DG5 - Comp %Age 3|DG5 - Comp Desc 4|DG5 - Comp %Age 4|DG5 - Comp Desc 5|DG5 - Comp %Age 5|DG5 - Comp Desc 6|DG5 - Comp %Age 6|DG5 - Comp Desc 7|DG5 - Comp %Age 7|DG5 - Comp Desc 8|DG5 - Comp %Age 8|Declaration Group 6|DG6 - Comp Desc 1|DG6 - Comp %Age 1|DG6 - Comp Desc 2|DG6 - Comp %Age 2|DG6 - Comp Desc 3|DG6 - Comp %Age 3|DG6 - Comp Desc 4|DG6 - Comp %Age 4|DG6 - Comp Desc 5|DG6 - Comp %Age 5|DG6 - Comp Desc 6|DG6 - Comp %Age 6|DG6 - Comp Desc 7|DG6 - Comp %Age 7|DG6 - Comp Desc 8|DG6 - Comp %Age 8|Declaration Group 7|DG7 - Comp Desc 1|DG7 - Comp %Age 1|DG7 - Comp Desc 2|DG7 - Comp %Age 2|DG7 - Comp Desc 3|DG7 - Comp %Age 3|DG7 - Comp Desc 4|DG7 - Comp %Age 4|DG7 - Comp Desc 5|DG7 - Comp %Age 5|DG7 - Comp Desc 6|DG7 - Comp %Age 6|DG7 - Comp Desc 7|DG7 - Comp %Age 7|DG7 - Comp Desc 8|DG7 - Comp %Age 8|Declaration Group 8|DG8 - Comp Desc 1|DG8 - Comp %Age 1|DG8 - Comp Desc 2|DG8 - Comp %Age 2|DG8 - Comp Desc 3|DG8 - Comp %Age 3|DG8 - Comp Desc 4|DG8 - Comp %Age 4|DG8 - Comp Desc 5|DG8 - Comp %Age 5|DG8 - Comp Desc 6|DG8 - Comp %Age 6|DG8 - Comp Desc 7|DG8 - Comp %Age 7|DG8 - Comp Desc 8|DG8 - Comp %Age 8|TEXT 1|TEXT 2|TEXT 3|Care Instruction 1|Care Instruction 2|Care Instruction 3|Care Instruction 6|Care Instruction 4|Care Instruction 5|Chinese SIZE|DG1-CIQ1|DG1-CIQ2|DG2-CIQ1|DG2-CIQ2|DG3-CIQ1|DG3-CIQ2|DG4-CIQ1|DG4-CIQ2|DG5-CIQ1|DG5-CIQ2|DG6-CIQ1|DG6-CIQ2|DG7-CIQ1|DG7-CIQ2|DG8-CIQ1|DG8-CIQ2|DGX-CIQ1|DGX-CIQ2|DG1 - SUBCAT|DG2 - SUBCAT|DG3 - SUBCAT|DG4 - SUBCAT|DG5 - SUBCAT|DG6 - SUBCAT|DG7 - SUBCAT|DG8 - SUBCAT|DG Padding - MW1|DG Padding - MW2|DG Padding - MW3|DG Padding - MW4|DG Padding - MW5|DG Padding - MW6|DG Padding - MW7|DG Padding - MW8|DG1-SPECIES|DG1-TANNING|DG1-GROW ORIGIN|DG1-MATNAME|DG2-SPECIES|DG2-TANNING|DG2-GROW ORIGIN|DG2-MATNAME|DG3-SPECIES|DG3-TANNING|DG3-GROW ORIGIN|DG3-MATNAME|DG4-SPECIES|DG4-TANNING|DG4-GROW ORIGIN|DG4-MATNAME|DG5-SPECIES|DG5-TANNING|DG5-GROW ORIGIN|DG5-MATNAME|DG6-SPECIES|DG6-TANNING|DG6-GROW ORIGIN|DG6-MATNAME|DG7-SPECIES|DG7-TANNING|DG7-GROW ORIGIN|DG7-MATNAME|DG8-SPECIES|DG8-TANNING|DG8-GROW ORIGIN|DG8-MATNAME|SALESLINE_DESC|MAT_CODE_DESC|GENERIC_CODE|GENERIC_DESC|MDSE CAT|ORDER REASON H.|Down/Feather|Korean size|||||||||||||||||||||
CARE|B|Chloé 42mm|42*42|71|CHC24WC079CB79DCM|0000654876|9DC|Vintage Gold||||||||7614027665567|IT00|BELT, Vintage Gold, M|BELT, Vintage Gold, M|CE|C|CHL|LAITON|IT|6022712813|CH24|W|M|||||||||005|105|100%|||||||||||||||020|105|100%||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1009||||1009|||||||||||||||||||||||||CHLOE SNAKE BELT|LAITON|CHC24WC079CB7|BELT|CH0102004|Y00||80|||||||||||||||||||||
CARE|B|Chloé 42mm|42*42|66|CHC24WC079CB79DCS|0000654876|9DC|Vintage Gold||||||||7614027665574|IT00|BELT, Vintage Gold, S|BELT, Vintage Gold, S|CE|C|CHL|LAITON|IT|6022712813|CH24|W|S|||||||||005|105|100%|||||||||||||||020|105|100%||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1009||||1009|||||||||||||||||||||||||CHLOE SNAKE BELT|LAITON|CHC24WC079CB7|BELT|CH0102004|Y00||75|||||||||||||||||||||
CARE|B|Chloé 42mm|42*42|123|CHC24WFO71CB79DCTU|0000654876|9DC|Vintage Gold||||||||7614027669763|IT00|NECKLACE, Vintage Gold, Single size|NECKLACE, Vintage Gold, Single size|CO||CHL|LAITON|IT|6022712813|CH24|W|TU|||||||||005|105|100%|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1009|||||||||||||||||||||||||||||CHLOE SNAKE|LAITON|CHC24WFO71CB7|NECKLACE|CH0103001|Y00|||||||||||||||||||||||
CARE|B|Chloé 42mm|42*42|80|CHC24WFO73CB79DCTU|0000654876|9DC|Vintage Gold||||||||7614027669947|IT00|NECKLACE, Vintage Gold, Single size|NECKLACE, Vintage Gold, Single size|CO||CHL|LAITON|IT|6022712813|CH24|W|TU|||||||||005|105|100%|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1009|||||||||||||||||||||||||||||CHLOE SNAKE|LAITON|CHC24WFO73CB7|NECKLACE|CH0103001|Y00|||||||||||||||||||||||
CARE|B|Chloé 42mm|42*42|19|CHC24WFR69CB79DC52|0000654876|9DC|Vintage Gold||||||||7614027670073|IT00|RING, Vintage Gold, 52|RING, Vintage Gold, 52|BA||CHL|LAITON|IT|6022712813|CH24|W|52|||||||||005|105|100%|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1009|||||||||||||||||||||||||||||CHLOE SNAKE|LAITON|CHC24WFR69CB7|RING|CH0103001|Y00|||||||||||||||||||||||
CARE|B|Chloé 42mm|42*42|23|CHC24WFR69CB79DC54|0000654876|9DC|Vintage Gold||||||||7614027670080|IT00|RING, Vintage Gold, 54|RING, Vintage Gold, 54|BA||CHL|LAITON|IT|6022712813|CH24|W|54|||||||||005|105|100%|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1009|||||||||||||||||||||||||||||CHLOE SNAKE|LAITON|CHC24WFR69CB7|RING|CH0103001|Y00|||||||||||||||||||||||
CARE|B|Chloé 42mm|42*42|15|CHC24WFR69CB79DC56|0000654876|9DC|Vintage Gold||||||||7614027670097|IT00|RING, Vintage Gold, 56|RING, Vintage Gold, 56|BA||CHL|LAITON|IT|6022712813|CH24|W|56|||||||||005|105|100%|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1009|||||||||||||||||||||||||||||CHLOE SNAKE|LAITON|CHC24WFR69CB7|RING|CH0103001|Y00|||||||||||||||||||||||
CARE|B|Chloé 42mm|42*42|45|CHC24WFR70CB79DC52|0000654876|9DC|Vintage Gold||||||||7614027670820|IT00|RING, Vintage Gold, 52|RING, Vintage Gold, 52|BA||CHL|LAITON|IT|6022712813|CH24|W|52|||||||||005|105|100%|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1009|||||||||||||||||||||||||||||CHLOE SNAKE|LAITON|CHC24WFR70CB7|RING|CH0103001|Y00|||||||||||||||||||||||
CARE|B|Chloé 42mm|42*42|37|CHC24WFR70CB79DC54|0000654876|9DC|Vintage Gold||||||||7614027670837|IT00|RING, Vintage Gold, 54|RING, Vintage Gold, 54|BA||CHL|LAITON|IT|6022712813|CH24|W|54|||||||||005|105|100%|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1009|||||||||||||||||||||||||||||CHLOE SNAKE|LAITON|CHC24WFR70CB7|RING|CH0103001|Y00|||||||||||||||||||||||
CARE|B|Chloé 42mm|42*42|19|CHC24WFR70CB79DC56|0000654876|9DC|Vintage Gold||||||||7614027670844|IT00|RING, Vintage Gold, 56|RING, Vintage Gold, 56|BA||CHL|LAITON|IT|6022712813|CH24|W|56|||||||||005|105|100%|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1009|||||||||||||||||||||||||||||CHLOE SNAKE|LAITON|CHC24WFR70CB7|RING|CH0103001|Y00|||||||||||||||||||||||
